input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-12-12 04:00:00+00:00,94.0,7.2,13.06,21.94,1
2021-12-13 04:00:00+00:00,106.0,9.4,11.28,21.2,1
2021-12-14 04:00:00+00:00,11.0,1.4,7.86,11.18,1
2021-12-15 04:00:00+00:00,352.0,20.4,17.25,76.39,1
2021-12-16 04:00:00+00:00,321.0,22.2,14.46,58.26,1
2021-12-17 04:00:00+00:00,305.0,24.0,12.71,46.91,1
2021-12-18 04:00:00+00:00,273.0,24.0,11.38,45.44,1
2021-12-19 04:00:00+00:00,271.0,24.0,11.29,42.9,1
2021-12-20 04:00:00+00:00,290.0,24.0,12.08,50.0,1
2021-12-21 04:00:00+00:00,295.0,24.0,12.29,48.83,1
2021-12-22 04:00:00+00:00,213.0,19.5,10.92,35.68,1
2021-12-23 04:00:00+00:00,40.0,3.1,12.9,14.25,1
2021-12-24 04:00:00+00:00,28.0,3.9,7.18,15.45,1
2021-12-25 04:00:00+00:00,0.0,0.0,,8.31,1
2021-12-26 04:00:00+00:00,0.0,0.0,,9.42,1
2021-12-27 04:00:00+00:00,0.0,0.0,,9.06,1
2021-12-28 04:00:00+00:00,14.0,1.1,12.73,14.57,1
2021-12-29 03:00:00+00:00,394.0,23.0,17.13,75.55,1
2021-12-30 03:00:00+00:00,421.0,24.0,17.54,96.34,1
2021-12-31 01:30:00+00:00,365.0,22.5,16.22,65.55,1
2022-01-01 01:30:00+00:00,178.0,11.7,15.21,31.4,1
2022-01-02 01:30:00+00:00,9.0,1.1,8.18,9.88,1
2022-01-03 01:30:00+00:00,16.0,1.4,11.43,11.94,1
2022-01-04 01:30:00+00:00,1.0,0.4,2.5,8.91,1
2022-01-05 01:30:00+00:00,0.0,0.0,,7.97,1
2022-01-06 01:30:00+00:00,75.0,4.6,16.3,18.71,1
2022-01-07 01:00:00+00:00,301.0,23.5,12.81,42.61,1
2022-01-08 01:00:00+00:00,137.0,10.2,13.43,28.59,1
2022-01-09 01:00:00+00:00,0.0,0.0,,8.18,1
2022-01-10 01:00:00+00:00,143.0,9.0,15.89,34.14,1
2022-01-11 02:00:00+00:00,356.0,25.0,14.24,49.44,1
2022-01-12 02:00:00+00:00,331.0,24.0,13.79,44.79,1
2022-01-13 03:00:00+00:00,323.0,25.0,12.92,38.69,1
2022-01-14 03:00:00+00:00,309.0,24.0,12.88,39.45,1
2022-01-15 04:00:00+00:00,223.0,17.0,13.12,25.93,1
2022-01-16 04:00:00+00:00,47.0,3.7,12.7,15.72,1
2022-01-17 04:00:00+00:00,143.0,15.2,9.41,18.08,1
2022-01-18 04:00:00+00:00,8.0,0.7,11.43,10.4,1
2022-01-19 04:00:00+00:00,65.0,5.9,11.02,14.44,1
2022-01-20 04:00:00+00:00,0.0,0.0,,8.92,1
2022-01-21 04:00:00+00:00,303.0,20.2,15.0,50.24,1
2022-01-22 04:00:00+00:00,397.0,24.0,16.54,72.0,1
2022-01-23 04:00:00+00:00,405.0,24.0,16.88,73.84,1
2022-01-24 04:00:00+00:00,424.0,24.0,17.67,74.84,1
2022-01-25 04:00:00+00:00,348.0,24.0,14.5,46.85,1
2022-01-26 04:00:00+00:00,310.0,24.0,12.92,51.07,1
